"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
6.64549744627469e-44	0.512495079676455	0.488	0.321	2.60137997534423e-39	"0"	"PPM1G"
7.17346298143627e-44	0.465049789753474	0.533	0.357	2.80805208408323e-39	"0"	"PTPN7"
1.15898580600774e-43	0.659407742543211	0.344	0.193	4.53684993761732e-39	"0"	"FAS"
1.37770168420811e-43	0.657321033190155	0.3	0.157	5.39301324283263e-39	"0"	"EXOSC9"
1.47566977278947e-43	0.54179187762647	0.448	0.29	5.7765093255844e-39	"0"	"COPZ1"
2.02479750461925e-43	0.483369143523183	0.521	0.349	7.92606983183205e-39	"0"	"CDK2AP2"
2.31381085527629e-43	0.636030058974161	0.337	0.189	9.05741259297904e-39	"0"	"B3GNT2"
2.89148205758008e-43	0.491416344998871	0.517	0.348	1.13187065143972e-38	"0"	"RAC1"
3.81937301154547e-43	0.349238040196149	0.753	0.616	1.49509356536947e-38	"0"	"ATP6V0E1"
6.35938222127023e-43	0.739125339948641	0.252	0.124	2.48938017051623e-38	"0"	"SNX20"
8.11810485820845e-43	0.549263695443986	0.473	0.316	3.1778321467457e-38	"0"	"PTPN6"
1.6743856214521e-42	0.385527180440116	0.726	0.585	6.55438251517427e-38	"0"	"ANXA6"
3.8398963904478e-42	0.194289300813612	0.945	0.856	1.50312744204079e-37	"0"	"JUNB"
3.97136643852784e-42	0.2007067303408	0.988	0.966	1.55459139236172e-37	"0"	"ACTG1"
7.70133351244117e-42	0.0453013999870127	0.613	0.386	3.0146870034451e-37	"0"	"HSPA1B"
1.26612548333425e-41	0.813414507096972	0.083	0.018	4.95624820451192e-37	"0"	"NR5A2"
1.98198996867384e-41	0.22948392812802	0.938	0.874	7.75849973237376e-37	"0"	"RHOA"
4.57938886567075e-41	0.811057357608248	0.093	0.023	1.79260177146681e-36	"0"	"NOD2"
8.07814560749853e-41	0.360034310279953	0.72	0.576	3.1621900980553e-36	"0"	"PSME2"
8.84337371568711e-41	0.464940338043382	0.552	0.389	3.46173864100572e-36	"0"	"AIP"
1.02845019104752e-40	0.572163799969887	0.357	0.208	4.0258682728555e-36	"0"	"C11orf98"
1.32765521379571e-40	0.682220935363294	0.256	0.129	5.1971063344033e-36	"0"	"IL21R"
1.4588712720632e-40	0.664474528885229	0.28	0.149	5.71075159449138e-36	"0"	"C14orf119"
1.47927575923983e-40	0.612587887835185	0.346	0.203	5.79062495954433e-36	"0"	"CTSB"
2.46858526414377e-40	0.826269724090967	0.099	0.026	9.6632770164908e-36	"0"	"CCR2"
3.27885751176739e-40	0.322944096347589	0.799	0.673	1.28350877298134e-35	"0"	"HMGN1"
4.48269550355877e-40	0.343459824918529	0.649	0.472	1.75475115486808e-35	"0"	"DYNLL1"
4.54048917872312e-40	0.799822311161195	0.068	0.012	1.77737448901117e-35	"0"	"ETV7"
4.67950790063187e-40	0.672126738608473	0.283	0.151	1.83179336770235e-35	"0"	"LIMS1"
5.07256502922524e-40	0.853700053742407	0.096	0.024	1.98565558069022e-35	"0"	"CXCL13"
5.11865541004127e-40	0.402696925933964	0.669	0.525	2.00369766026066e-35	"0"	"LCP2"
5.59717084759834e-40	0.387424172727102	0.628	0.472	2.19101252829237e-35	"0"	"SEPT1"
5.65791171059529e-40	0.488630824398285	0.514	0.354	2.21478953911253e-35	"0"	"CREM"
5.97104316379879e-40	0.443782135885539	0.55	0.387	2.33736484646903e-35	"0"	"UBE2L6"
8.26964171263063e-40	0.503389490573306	0.534	0.381	3.23715124840926e-35	"0"	"CARD16"
1.30806016969892e-39	0.683820589283416	0.182	0.075	5.12040153428643e-35	"0"	"CLECL1"
1.66169120164229e-39	0.335394315813092	0.618	0.44	6.50469020882874e-35	"0"	"TRAC"
2.12862976507197e-39	0.661580585413452	0.275	0.146	8.33252121537424e-35	"0"	"NAA60"
2.52205913347102e-39	0.747285597274373	0.19	0.082	9.87260047797231e-35	"0"	"KIAA0319L"
2.77435942809307e-39	0.498177940715059	0.492	0.328	1.08602299812703e-34	"0"	"PLEK"
4.02305804705383e-39	0.838542251209347	0.082	0.018	1.57482607251922e-34	"0"	"FAAH2"
5.77929929266033e-39	0.809129024906611	0.153	0.058	2.26230670811189e-34	"0"	"SNX18"
8.79983022365561e-39	0.106014021763443	0.943	0.895	3.44469354104999e-34	"0"	"HMGB1"
8.80638634788982e-39	0.820186608044604	0.088	0.022	3.44725993588147e-34	"0"	"ST8SIA1"
1.02198638734229e-38	0.279157536526513	0.817	0.683	4.00056571325139e-34	"0"	"COX8A"
1.02445828847518e-38	0.691817168972274	0.245	0.123	4.01024197023609e-34	"0"	"C3orf17"
2.91142371503592e-38	0.421180274009592	0.579	0.422	1.13967681325081e-33	"0"	"SLC38A1"
3.04069512860119e-38	0.747283035012579	0.287	0.157	1.19028010809093e-33	"0"	"UBE2F"
3.36453037573172e-38	0.358642444901642	0.674	0.515	1.31704541558018e-33	"0"	"BUB3"
3.66071206736715e-38	0.693445401299543	0.168	0.067	1.43298573877087e-33	"0"	"HIST1H2BK"
3.67270991657246e-38	0.290405831250274	0.828	0.726	1.43768229684229e-33	"0"	"HNRNPK"
4.38453129664193e-38	0.865594423384177	0.119	0.039	1.71632477607048e-33	"0"	"LMCD1"
4.91827597706033e-38	0.612743012034978	0.294	0.161	1.92525913122027e-33	"0"	"MSI2"
8.04309927235081e-38	0.479703227370156	0.481	0.325	3.14847121016173e-33	"0"	"CCNDBP1"
1.46731875426093e-37	0.772625731140403	0.207	0.098	5.74381926355442e-33	"0"	"FAF1"
1.77994457931304e-37	0.296489527222522	0.823	0.697	6.96759305572091e-33	"0"	"CAPZB"
2.45836945088264e-37	0.741864447657639	0.067	0.013	9.62328721548011e-33	"0"	"RP11-624C23.1"
2.70975038234424e-37	0.804120839179984	0.091	0.024	1.06073178716865e-32	"0"	"GNB4"
9.370383419305e-37	0.446773066554505	0.552	0.407	3.66803658948694e-32	"0"	"SRI"
2.23542874833062e-36	0.740493561748766	0.153	0.061	8.75058583534022e-32	"0"	"PON2"
3.12599019610824e-36	0.665756551423364	0.237	0.12	1.22366886226657e-31	"0"	"S100PBP"
4.31594171366079e-36	0.529229605829891	0.41	0.264	1.68947538381252e-31	"0"	"GYG1"
8.36505746143623e-36	0.76696333445641	0.087	0.023	3.27450174327921e-31	"0"	"AP001055.6"
1.61409115729265e-35	0.686806277571683	0.175	0.076	6.31835983522206e-31	"0"	"TMEM140"
2.27400052937765e-35	0.782749204188406	0.086	0.023	8.9015750722488e-31	"0"	"ATP9A"
2.32846141144259e-35	0.692295332628929	0.186	0.084	9.11476219509201e-31	"0"	"FUT8"
5.13795211099803e-35	0.3163683514886	0.81	0.701	2.01125135385018e-30	"0"	"SOD1"
7.18865049568715e-35	0.38085100764496	0.839	0.763	2.81399723653673e-30	"0"	"TRBC2"
9.58446318543259e-35	1.04847185787892	0.204	0.1	3.75183811393759e-30	"0"	"SGK1"
9.89617998777524e-35	0.435639925285507	0.476	0.329	3.87385965621462e-30	"0"	"PDCD6"
1.04046833451878e-34	0.187125274029952	0.975	0.952	4.07291329547376e-30	"0"	"MYL6"
1.3148538855598e-34	0.324298531602284	0.704	0.557	5.14699553502384e-30	"0"	"EZR"
1.89545249889521e-34	0.348329176451138	0.678	0.544	7.41974880692529e-30	"0"	"NDUFA3"
2.06276606125821e-34	0.479324287559736	0.451	0.305	8.07469774679528e-30	"0"	"PSTPIP1"
2.69133459313824e-34	0.0938814170906515	1	1	1.05352292648396e-29	"0"	"B2M"
2.70403378566601e-34	0.559418199447745	0.376	0.239	1.05849402539896e-29	"0"	"RHBDD2"
2.75441046391031e-34	0.705348265615058	0.188	0.086	1.07821397609769e-29	"0"	"LINC00426"
3.34662533341076e-34	0.36038970520673	0.597	0.436	1.31003648676364e-29	"0"	"RBX1"
3.81058631097045e-34	0.637864220793464	0.175	0.076	1.49165401142938e-29	"0"	"DFNB31"
4.1843900843159e-34	0.349097140176621	0.672	0.542	1.63797949850546e-29	"0"	"SH3BGRL"
4.47276872311397e-34	0.51482017409595	0.59	0.479	1.75086531666296e-29	"0"	"TRBC1"
6.69278415145774e-34	0.803984100612227	0.092	0.027	2.61989035608813e-29	"0"	"PCAT29"
8.53741997531312e-34	0.241271271749145	0.867	0.776	3.34197304933632e-29	"0"	"YWHAB"
1.09464156707659e-33	0.54988695364636	0.29	0.163	4.28497441432132e-29	"0"	"BPGM"
1.12817810635733e-33	0.840983925449051	0.206	0.102	4.41625319733578e-29	"0"	"PCSK1N"
1.37360595902337e-33	0.459902381756024	0.397	0.258	5.37698052659698e-29	"0"	"TMEM179B"
1.46936949690177e-33	0.322556465162428	0.671	0.532	5.75184689562196e-29	"0"	"PGAM1"
1.80655556358951e-33	0.676329299824187	0.219	0.111	7.07176175367114e-29	"0"	"CXorf40B"
1.89377533428818e-33	0.39147647787621	0.637	0.506	7.4131835460711e-29	"0"	"CFLAR"
2.67057802010238e-33	0.307812292957376	0.738	0.6	1.04539776596908e-28	"0"	"PCBP1"
3.01285367765879e-33	0.612497732527793	0.204	0.097	1.17938157211953e-28	"0"	"TRAPPC2P1"
3.01403387000572e-33	0.76481421106328	0.154	0.065	1.17984355841374e-28	"0"	"GALNT1"
3.87322780465025e-33	0.128253894886504	0.999	0.999	1.51617502413034e-28	"0"	"ACTB"
6.24622893460286e-33	0.471177668545702	0.35	0.211	2.44508631645029e-28	"0"	"PRDX3"
9.02849776436157e-33	0.700369758376377	0.193	0.093	3.53420544985934e-28	"0"	"RFX5"
9.03298472383373e-33	0.327610696605215	0.658	0.504	3.53596187014471e-28	"0"	"CALM3"
1.09202242752159e-32	0.215430137695794	0.921	0.832	4.27472179253325e-28	"0"	"SRSF7"
1.14050051138133e-32	0.755774944885857	0.063	0.013	4.46448925180221e-28	"0"	"AP000233.4"
1.25336817906849e-32	0.397794399391756	0.494	0.347	4.90630973696359e-28	"0"	"ELOVL5"
1.44652951229197e-32	0.209512415180116	0.862	0.745	5.66243977586693e-28	"0"	"CALM2"
1.5254293107892e-32	0.705223541678313	0.169	0.076	5.97129303708434e-28	"0"	"SLC7A6"
1.8954218252636e-32	0.554157467070964	0.339	0.21	7.41962873499438e-28	"0"	"RASGRP1"
2.23788352145534e-32	0.379120336579158	0.568	0.429	8.76019504473692e-28	"0"	"SH3KBP1"
2.42615909649758e-32	0.610268780571426	0.252	0.136	9.49719978323977e-28	"0"	"JAKMIP1"
2.74188589487981e-32	0.4572457474757	0.445	0.309	1.0733112335507e-27	"0"	"TWF2"
4.68531588389553e-32	0.324541471206667	0.679	0.537	1.8340669027509e-27	"0"	"NDUFA13"
4.96258176337297e-32	0.445586084829841	0.461	0.324	1.94260263127235e-27	"0"	"IL16"
5.1513991712437e-32	0.299767824474412	0.637	0.471	2.01651520558335e-27	"0"	"PRDX1"
5.3434968761653e-32	0.48195229814311	0.334	0.202	2.09171185217491e-27	"0"	"DNPH1"
6.01889802437986e-32	0.669630786141617	0.198	0.097	2.3560976316435e-27	"0"	"PDE4DIP"
1.32791754725051e-31	0.64731326467322	0.048	0.007	5.19813323871212e-27	"0"	"PPP2R3A"
1.48920748188998e-31	0.533693367045628	0.352	0.223	5.82950268785833e-27	"0"	"ETNK1"
1.51322281490402e-31	0.208398893408524	0.887	0.8	5.92351070894179e-27	"0"	"ITGB2"
1.64704400285806e-31	0.685076345854823	0.037	0.003	6.44735374918788e-27	"0"	"FNDC9"
3.02062284856203e-31	0.311759682762688	0.683	0.537	1.18242281406961e-26	"0"	"HNRNPF"
3.17329372828091e-31	0.292261804160451	0.785	0.686	1.24218582993556e-26	"0"	"ANAPC16"
3.74759292803386e-31	0.701302593658281	0.087	0.026	1.46699525167886e-26	"0"	"LINC00158"
4.57284876326782e-31	0.599545742787984	0.261	0.146	1.79004164838119e-26	"0"	"CASP3"
4.89001010314003e-31	0.622913715002185	0.262	0.15	1.91419445487416e-26	"0"	"HBS1L"
5.06771921724304e-31	0.44961067516629	0.38	0.243	1.98375868758979e-26	"0"	"ATF3"
5.75878854509755e-31	0.784356296441066	0.115	0.042	2.25427777597844e-26	"0"	"MICAL2"
5.84413577452043e-31	0.708509678694015	0.103	0.035	2.28768694893602e-26	"0"	"TTC24"
6.29316456148534e-31	0.429851400125546	0.474	0.336	2.46345926759344e-26	"0"	"SASH3"
