""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"PNRC2"	1.66529354963541e-34	0.341389440430212	0.741	0.394	6.51879160004781e-30	"17"	"PNRC2"
"UBASH3B2"	2.01710095093498e-34	0.260316141161543	0.221	0.073	7.89594167243496e-30	"17"	"UBASH3B"
"GLIPR23"	2.21510392840127e-34	0.25626493316674	0.633	0.309	8.67102432772679e-30	"17"	"GLIPR2"
"EIF3I"	2.65968680242199e-34	0.355415790304045	0.772	0.433	1.04113439880809e-29	"17"	"EIF3I"
"TRGC13"	2.66074430889959e-34	0.252416138623439	0.168	0.048	1.04154835971874e-29	"17"	"TRGC1"
"APBB15"	2.74820421500814e-34	0.329155578284656	0.244	0.083	1.07578453996494e-29	"17"	"APBB1"
"PDIA32"	2.82113044945807e-34	0.385372073897083	0.904	0.625	1.10433151444036e-29	"17"	"PDIA3"
"DUSP28"	3.16604169860598e-34	0.34563579528211	0.231	0.078	1.23934702291931e-29	"17"	"DUSP28"
"RNF121"	3.3603402661909e-34	0.253613141536624	0.159	0.045	1.31540519720043e-29	"17"	"RNF121"
"COQ10A"	3.4833192298898e-34	0.277191409580443	0.175	0.052	1.36354531254036e-29	"17"	"COQ10A"
"SELT3"	3.49035196764965e-34	0.337810580916832	0.75	0.4	1.36629827773646e-29	"17"	"SELT"
"ACTR10"	4.10492354668136e-34	0.269887821741115	0.452	0.193	1.60687232234842e-29	"17"	"ACTR10"
"NDUFB101"	4.21885936926776e-34	0.32247676700127	0.832	0.482	1.65147250009986e-29	"17"	"NDUFB10"
"TXNDC121"	4.41343231397034e-34	0.283820949832617	0.532	0.247	1.72763807930369e-29	"17"	"TXNDC12"
"SEC61B3"	5.77260668384874e-34	0.34494216999915	0.901	0.645	2.25968688639259e-29	"17"	"SEC61B"
"EIF4EBP22"	6.3398497438145e-34	0.369680427327847	0.405	0.172	2.48173418221618e-29	"17"	"EIF4EBP2"
"ZNF184"	6.37632534885429e-34	0.37782698610354	0.154	0.043	2.49601255780901e-29	"17"	"ZNF184"
"C14orf22"	7.2156672338596e-34	0.317000841106756	0.875	0.607	2.82457293869434e-29	"17"	"C14orf2"
"FAM122C"	7.45780618634676e-34	0.281900919754818	0.159	0.045	2.91935823164544e-29	"17"	"FAM122C"
"HS2ST1"	7.75879650986736e-34	0.361235048039341	0.166	0.048	3.03718089378758e-29	"17"	"HS2ST1"
"ZDHHC16"	8.62348352435085e-34	0.289982214454727	0.159	0.045	3.37566262560714e-29	"17"	"ZDHHC16"
"SLC39A82"	9.36172157996027e-34	0.283760603065809	0.213	0.07	3.66464591247545e-29	"17"	"SLC39A8"
"COX6B12"	9.3779968215336e-34	0.274628095610457	0.962	0.8	3.67101685578933e-29	"17"	"COX6B1"
"DBNL2"	1.01929092962899e-33	0.261158523252863	0.7	0.346	3.99001434403267e-29	"17"	"DBNL"
"RSRC22"	1.0596564734332e-33	0.310271285174316	0.774	0.421	4.14802526525427e-29	"17"	"RSRC2"
"NDUFA112"	1.28398093358717e-33	0.289492761935149	0.759	0.405	5.02614336452698e-29	"17"	"NDUFA11"
"ZC3H4"	1.56457560676131e-33	0.289189005350316	0.165	0.048	6.12453121266713e-29	"17"	"ZC3H4"
"RPN2"	1.91676952564722e-33	0.32659991040724	0.758	0.403	7.50319430814603e-29	"17"	"RPN2"
"MRPS241"	1.95019636682177e-33	0.31746759844932	0.653	0.329	7.63404367792382e-29	"17"	"MRPS24"
"TRIOBP2"	2.29591243861814e-33	0.419255926632996	0.213	0.071	8.98734924097072e-29	"17"	"TRIOBP"
"TAP2"	2.30784765010052e-33	0.317301086799005	0.201	0.065	9.03406962631849e-29	"17"	"TAP2"
"DOT1L"	2.50205175508171e-33	0.298498748163225	0.128	0.033	9.79428159526736e-29	"17"	"DOT1L"
"TESC3"	2.59335421876762e-33	0.298721365297467	0.3	0.116	1.01516850893658e-28	"17"	"TESC"
"SEPSECS-AS1"	2.65162395390119e-33	0.283368026651762	0.121	0.03	1.03797819675462e-28	"17"	"SEPSECS-AS1"
"CPSF4"	2.88941253785218e-33	0.302437026022924	0.146	0.04	1.13106053794224e-28	"17"	"CPSF4"
"TCEA11"	3.01335109730047e-33	0.347727818583659	0.785	0.461	1.17957628703827e-28	"17"	"TCEA1"
"TRGC23"	3.14219117401652e-33	0.400744519910941	0.201	0.065	1.23001073506877e-28	"17"	"TRGC2"
"PSMF11"	3.32953942504399e-33	0.268644896464287	0.691	0.343	1.30334820793347e-28	"17"	"PSMF1"
"EMD2"	4.3685615737906e-33	0.318395830166251	0.769	0.408	1.71007342806033e-28	"17"	"EMD"
"NUMA1"	4.67737309289277e-33	0.276639982445602	0.4	0.171	1.83095769721287e-28	"17"	"NUMA1"
"PRPF40A"	4.96852275935723e-33	0.268459352322869	0.711	0.36	1.94492823415039e-28	"17"	"PRPF40A"
"PSMB42"	5.86187896394832e-33	0.27518296209212	0.584	0.283	2.29463252043757e-28	"17"	"PSMB4"
"BZW12"	6.22146094301643e-33	0.315248825461651	0.852	0.495	2.43539088614378e-28	"17"	"BZW1"
"TCP11L1"	6.97102466087439e-33	0.320514084684271	0.143	0.039	2.72880760349928e-28	"17"	"TCP11L1"
"PLEKHF13"	7.59869778566201e-33	0.303525415596846	0.222	0.075	2.97451024819739e-28	"17"	"PLEKHF1"
