""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"TANK"	5.26159691126849e-62	0.642313800895734	0.378	0.19	2.37129649597048e-57	"2"	"TANK"
"DYNLRB1"	5.39382052459665e-62	0.539082928814606	0.581	0.376	2.43088703402522e-57	"2"	"DYNLRB1"
"CHMP2A"	8.0565909164216e-62	0.615623725785237	0.414	0.221	3.63094439421289e-57	"2"	"CHMP2A"
"SAT1"	8.12810811700641e-62	0.440715555570234	0.798	0.637	3.66317576617245e-57	"2"	"SAT1"
"SKA2"	1.18846185543626e-61	0.713447640357084	0.204	0.071	5.35615989008014e-57	"2"	"SKA2"
"SEC61G"	3.35903538489737e-61	0.44660879007436	0.692	0.506	1.51385006726555e-56	"2"	"SEC61G"
"PDCD1"	3.92174929406684e-61	0.83142531878268	0.167	0.051	1.76745397185004e-56	"2"	"PDCD1"
"TBC1D4"	4.15168729994554e-61	0.935799099244584	0.241	0.098	1.87108243233946e-56	"2"	"TBC1D4"
"PSMA7"	4.62806955881257e-61	0.480061209654799	0.713	0.528	2.08577838876565e-56	"2"	"PSMA7"
"CARHSP1"	9.60349407018079e-61	0.789119162122947	0.285	0.126	4.32810270754908e-56	"2"	"CARHSP1"
"MIR155HG"	1.03226150410961e-60	1.02700307064557	0.188	0.064	4.6521961467212e-56	"2"	"MIR155HG"
"RNASEK"	1.43907810054242e-60	0.448822612168258	0.738	0.57	6.4856371835246e-56	"2"	"RNASEK"
"NDUFS6"	2.73080131332549e-60	0.59272940871906	0.467	0.269	1.23071753588953e-55	"2"	"NDUFS6"
"NDUFA13"	3.86719290649956e-60	0.467946275561722	0.665	0.472	1.74286649910122e-55	"2"	"NDUFA13"
"ATP5B"	4.86498221162897e-60	0.483898849559424	0.664	0.492	2.19255018313694e-55	"2"	"ATP5B"
"MT1X"	5.44640843680771e-60	0.576606049569958	0.416	0.222	2.4545873543005e-55	"2"	"MT1X"
"WDR83OS"	8.22975641660981e-60	0.502937326346972	0.616	0.412	3.70898662183771e-55	"2"	"WDR83OS"
"HCLS1"	1.09423649019618e-59	0.42242594353139	0.752	0.589	4.93150501401615e-55	"2"	"HCLS1"
"GTF3C6"	1.2665195527627e-59	0.630926295980776	0.361	0.181	5.70795032039094e-55	"2"	"GTF3C6"
"SMS"	1.47305912477314e-59	0.826401126114003	0.316	0.152	6.63878286352757e-55	"2"	"SMS"
"UQCR10"	1.88495108159875e-59	0.415487333750865	0.729	0.544	8.49509753454926e-55	"2"	"UQCR10"
"PSMB10"	1.93839329758182e-59	0.526689458936399	0.58	0.376	8.73595091354175e-55	"2"	"PSMB10"
"UBE2L6"	2.02558452042362e-59	0.605116243705026	0.467	0.274	9.12890431664516e-55	"2"	"UBE2L6"
"NDFIP2"	2.05704974908979e-59	0.850911150078276	0.143	0.04	9.27071180919788e-55	"2"	"NDFIP2"
"YWHAQ"	3.33586083342956e-59	0.476203759529056	0.596	0.388	1.50340576041003e-54	"2"	"YWHAQ"
"IL2RA"	4.70920426884478e-59	0.966551966649879	0.158	0.049	2.12234417988297e-54	"2"	"IL2RA"
"PRDX3"	8.99995489403019e-59	0.733248020217553	0.276	0.121	4.05609967164153e-54	"2"	"PRDX3"
"ACTR3"	2.89571158651702e-58	0.469551112383105	0.671	0.487	1.30503929781149e-53	"2"	"ACTR3"
"SCP2"	3.42924092414865e-58	0.532592364548684	0.482	0.281	1.54549029969531e-53	"2"	"SCP2"
"TPM3"	3.48615306485156e-58	0.336855777424981	0.869	0.769	1.5711394632673e-53	"2"	"TPM3"
"ELOVL5"	8.22087564365379e-58	0.54514186069519	0.515	0.318	3.70498423508189e-53	"2"	"ELOVL5"
"PPP4C"	1.24070165629672e-57	0.588880663541503	0.425	0.237	5.59159422459804e-53	"2"	"PPP4C"
"SASH3"	1.88118374965974e-57	0.614449467144777	0.381	0.2	8.4781189229665e-53	"2"	"SASH3"
"TMEM50A"	1.06109289866304e-56	0.452351000604191	0.627	0.428	4.78213347569458e-52	"2"	"TMEM50A"
"HLA-DMB"	1.30143899472407e-56	0.771678304761748	0.106	0.023	5.86532526142243e-52	"2"	"HLA-DMB"
"EID1"	1.47327575873981e-56	0.431833351369347	0.682	0.491	6.63975918948858e-52	"2"	"EID1"
"VDAC1"	1.57243605500218e-56	0.563401344806393	0.454	0.261	7.08665481268384e-52	"2"	"VDAC1"
"COX7B"	1.73409518058433e-56	0.447461317776301	0.671	0.489	7.81522015985746e-52	"2"	"COX7B"
"COX6B1"	1.86556446598807e-56	0.323389682954509	0.871	0.757	8.40772593531503e-52	"2"	"COX6B1"
"LAT"	2.31760819716694e-56	0.482707713476426	0.684	0.519	1.04449966229919e-51	"2"	"LAT"
"EPSTI1"	2.63535165520607e-56	0.788709171656858	0.19	0.068	1.18770028396827e-51	"2"	"EPSTI1"
"GLRX"	3.47361790951669e-56	0.697411999232337	0.452	0.273	1.56549011946098e-51	"2"	"GLRX"
"C16orf87"	4.46539384774424e-56	0.674788916350232	0.222	0.086	2.01246369930138e-51	"2"	"C16orf87"
"PRR13"	6.41770087566236e-56	0.358531129725382	0.808	0.645	2.89232943064351e-51	"2"	"PRR13"
"NDUFB2"	9.68618722393771e-56	0.455810087991549	0.666	0.483	4.36537085808425e-51	"2"	"NDUFB2"
"HERPUD1"	1.11111505342971e-55	0.501942956701742	0.597	0.402	5.00757332279703e-51	"2"	"HERPUD1"
"LCK"	1.13539948329096e-55	0.383870826854677	0.792	0.65	5.11701839129571e-51	"2"	"LCK"
"PRF1"	1.59271707212135e-55	0.867426414391272	0.219	0.087	7.17805730063649e-51	"2"	"PRF1"
"PGK1"	4.27629707168141e-55	0.392832748207345	0.77	0.607	1.92724156426538e-50	"2"	"PGK1"
"CTSA"	4.68590268397225e-55	0.651428364850971	0.363	0.189	2.11184262161261e-50	"2"	"CTSA"
"BUB3"	5.66533384927065e-55	0.512313500165553	0.555	0.36	2.5532526591893e-50	"2"	"BUB3"
"GBP2"	7.80075628353785e-55	0.747203468606722	0.368	0.198	3.51564484186484e-50	"2"	"GBP2"
"LMNA"	9.44240721602454e-55	0.503520885110593	0.314	0.147	4.25550408411794e-50	"2"	"LMNA"
"DUSP10"	1.52223149037645e-54	0.696598606800695	0.211	0.081	6.86039288082858e-50	"2"	"DUSP10"
"CAPZA1"	1.65651193147219e-54	0.53472393571662	0.491	0.295	7.46556797275884e-50	"2"	"CAPZA1"
"ACOT9"	3.62948904760416e-54	0.727411513999205	0.151	0.046	1.63573812397424e-49	"2"	"ACOT9"
"CDK2AP2"	4.74687740961166e-54	0.637898963279829	0.345	0.175	2.13932271096378e-49	"2"	"CDK2AP2"
"COX5B"	1.13261574730903e-53	0.347146007911232	0.817	0.678	5.10447264997233e-49	"2"	"COX5B"
"TMEM258"	1.13511001927722e-53	0.380906725570365	0.752	0.591	5.11571383487857e-49	"2"	"TMEM258"
"LYST"	1.36354399653447e-53	0.673390250614665	0.267	0.119	6.14522008358156e-49	"2"	"LYST"
"FAM104A"	1.4491914047111e-53	0.634604597631162	0.227	0.092	6.53121582275199e-49	"2"	"FAM104A"
"NEDD9"	1.65211321771558e-53	0.725734556673751	0.256	0.113	7.44574384960055e-49	"2"	"NEDD9"
"C4orf48"	1.67585259951499e-53	0.594464646929941	0.362	0.189	7.55273249549416e-49	"2"	"C4orf48"
"TMBIM6"	1.86939133735755e-53	0.424932020939981	0.749	0.591	8.424972879203e-49	"2"	"TMBIM6"
"ATP1B1"	2.05504148885477e-53	0.867250463567978	0.128	0.035	9.26166098197068e-49	"2"	"ATP1B1"
"SH3GLB1"	2.33667926863229e-53	0.536266693541621	0.362	0.185	1.0530946127872e-48	"2"	"SH3GLB1"
"PHPT1"	3.10270987917661e-53	0.648040909866197	0.386	0.212	1.39832928834731e-48	"2"	"PHPT1"
"ADRM1"	4.0493700268353e-53	0.573811230199504	0.382	0.206	1.82497008369414e-48	"2"	"ADRM1"
"NOP10"	5.22325433532935e-53	0.54465583969696	0.512	0.323	2.35401626384623e-48	"2"	"NOP10"
"BSG"	5.35786351497511e-53	0.521828847097608	0.524	0.336	2.41468192892898e-48	"2"	"BSG"
"SLC9A3R1"	7.28983551115535e-53	0.52770006991497	0.506	0.318	3.28538306816749e-48	"2"	"SLC9A3R1"
"SYNGR2"	7.76508707764989e-53	0.632908866021911	0.458	0.278	3.49956944415525e-48	"2"	"SYNGR2"
"ZYX"	1.25454203610925e-52	0.578236684026764	0.495	0.312	5.65397004833717e-48	"2"	"ZYX"
