""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"RPL10A3"	3.97889891824879e-52	0.64388571176077	1	0.93	1.55753998154849e-47	"16"	"RPL10A"
"RPL7A1"	1.42889445763312e-51	0.559334815034245	1	0.959	5.59340735440484e-47	"16"	"RPL7A"
"RPL61"	1.77529948144829e-51	0.588969218539773	1	0.961	6.94940982012934e-47	"16"	"RPL6"
"RPS6KA43"	1.79388006183801e-51	1.38775771816613	0.745	0.261	7.02214350206489e-47	"16"	"RPS6KA4"
"HSP90B11"	2.02124874929615e-51	1.06942463432402	0.972	0.686	7.91217822911978e-47	"16"	"HSP90B1"
"CBFA2T32"	2.03474597377402e-51	1.397297293096	0.455	0.091	7.96501311433841e-47	"16"	"CBFA2T3"
"SNURF"	3.36493340521854e-51	1.15456053725415	0.193	0.018	1.3172031814728e-46	"16"	"SNURF"
"AMIGO2"	5.19779885883792e-51	0.945024883040951	0.138	0.009	2.0346783632921e-46	"16"	"AMIGO2"
"CLN81"	8.01760038580052e-51	1.34525482122764	0.607	0.169	3.13848967102161e-46	"16"	"CLN8"
"SSR41"	1.73421592163042e-50	0.919287858360795	0.972	0.785	6.78858822522229e-46	"16"	"SSR4"
"RUBCN"	2.53780638529951e-50	1.44388263640903	0.441	0.09	9.93424309525494e-46	"16"	"RUBCN"
"RPS15A1"	2.76516143320481e-50	0.502905578276266	1	0.969	1.08242244302802e-45	"16"	"RPS15A"
"RPS71"	3.47493670740452e-50	0.550481215261165	1	0.96	1.3602639741135e-45	"16"	"RPS7"
"TMEM1094"	3.60442592606421e-50	1.41010605146353	0.738	0.273	1.41095252875783e-45	"16"	"TMEM109"
"ETS11"	9.76708422397322e-50	1.23980603450993	0.228	0.025	3.82332511947432e-45	"16"	"ETS1"
"PMEPA1"	1.25498729622464e-49	1.25263781833857	0.234	0.027	4.91264777107135e-45	"16"	"PMEPA1"
"PVRL1"	8.17919951030681e-49	1.17642556955817	0.179	0.016	3.2017476483096e-44	"16"	"PVRL1"
"IGFLR14"	1.02338833135995e-48	1.30584135703781	0.793	0.335	4.00605362310851e-44	"16"	"IGFLR1"
"RPS32"	1.51000533378012e-48	0.534291253562691	1	0.963	5.91091587908228e-44	"16"	"RPS3"
"PAFAH2"	1.69307524333195e-48	1.09342382504562	0.241	0.028	6.62754304002293e-44	"16"	"PAFAH2"
"LGMN3"	1.69332244738305e-48	0.787744390541209	0.683	0.197	6.62851072028096e-44	"16"	"LGMN"
"SNRNP252"	1.75644162476092e-48	1.32592315051436	0.579	0.158	6.87559074012661e-44	"16"	"SNRNP25"
"MYL12A4"	3.0039934213099e-48	0.843759241347436	0.979	0.833	1.17591322477176e-43	"16"	"MYL12A"
"SNX94"	3.08076963083703e-48	1.27972467146416	0.669	0.206	1.20596727199116e-43	"16"	"SNX9"
"CDYL"	4.1198224781048e-48	1.27003953640859	0.338	0.055	1.61270450905412e-43	"16"	"CDYL"
"EEF1B23"	4.81154392907214e-48	0.690070981458711	1	0.895	1.88347887103529e-43	"16"	"EEF1B2"
"SLAMF73"	4.81194185522913e-48	1.33401717701281	0.462	0.1	1.88363463922944e-43	"16"	"SLAMF7"
"A1BG1"	5.29116121753016e-48	1.27238630291179	0.703	0.238	2.07122505860218e-43	"16"	"A1BG"
"SFT2D22"	1.36565911967901e-47	1.29214280614254	0.766	0.295	5.34587262398347e-43	"16"	"SFT2D2"
"EEF1A13"	1.9928878691606e-47	0.492403817472155	1	0.993	7.80115956382915e-43	"16"	"EEF1A1"
"RP1-313I6.12"	2.39464296806963e-47	1.34378862125948	0.297	0.044	9.37382989850855e-43	"16"	"RP1-313I6.12"
"SOX4"	3.76675146837806e-47	1.28539815031088	0.745	0.255	1.47449486229659e-42	"16"	"SOX4"
"FAM214A1"	8.02225755216352e-47	1.25421942151781	0.372	0.068	3.14031271879441e-42	"16"	"FAM214A"
"MCC"	1.08271292143031e-46	0.710527183682938	0.11	0.006	4.23827973093893e-42	"16"	"MCC"
"SELL5"	3.25996154386667e-46	1.04736814369047	0.897	0.395	1.27611194634661e-41	"16"	"SELL"
"TSPAN35"	3.41086822040311e-46	1.34577643511337	0.669	0.232	1.3351843648768e-41	"16"	"TSPAN3"
"FCER1A2"	6.85009841364547e-46	0.451899232241717	0.607	0.144	2.68147102402152e-41	"16"	"FCER1A"
"ZNF222"	8.16047021339578e-46	1.26451647683037	0.531	0.141	3.19441606503378e-41	"16"	"ZNF22"
"RPL23A3"	1.0495195918768e-45	0.615379497039631	1	0.939	4.10834444240174e-41	"16"	"RPL23A"
"RPL102"	2.22394099357228e-45	0.461074268154732	1	0.985	8.70561701933868e-41	"16"	"RPL10"
"DCPS3"	3.81099027910463e-45	1.31035397958242	0.531	0.142	1.49181214475551e-40	"16"	"DCPS"
"CHAF1A1"	7.55371503105646e-45	1.37093570444995	0.345	0.061	2.95690174890705e-40	"16"	"CHAF1A"
"C12orf453"	1.05036689032878e-44	1.36454436799127	0.579	0.17	4.11166119219201e-40	"16"	"C12orf45"
"TP53I133"	1.25301919880366e-44	1.29774742077351	0.531	0.147	4.90494365371691e-40	"16"	"TP53I13"
"SLC39A61"	2.01185430681034e-44	1.38101571999724	0.469	0.112	7.87540368400909e-40	"16"	"SLC39A6"
"CDK2AP22"	3.61998664168212e-44	1.39029549385587	0.786	0.365	1.41704377088647e-39	"16"	"CDK2AP2"
"ODC12"	4.01939856590605e-44	1.52121620422825	0.614	0.195	1.57339356862392e-39	"16"	"ODC1"
"TARBP12"	1.49077678046795e-43	1.36181353266686	0.297	0.047	5.83564570714179e-39	"16"	"TARBP1"
"UBE2J14"	1.73066747376284e-43	1.09748406801173	0.903	0.499	6.77469782604463e-39	"16"	"UBE2J1"
"CUEDC1"	2.00934543985355e-43	1.09195225684784	0.241	0.031	7.86558272430673e-39	"16"	"CUEDC1"
"HIGD1A2"	2.64572380202889e-43	1.28443354432289	0.483	0.121	1.03566858230421e-38	"16"	"HIGD1A"
"COMMD62"	2.78389150572754e-43	0.728634502933567	0.986	0.842	1.08975432991705e-38	"16"	"COMMD6"
"NGLY11"	2.9673022085397e-43	1.38911934066252	0.586	0.185	1.16155044953286e-38	"16"	"NGLY1"
"ARHGAP171"	5.03705908909668e-43	1.21444517057077	0.634	0.201	1.97175678042689e-38	"16"	"ARHGAP17"
"UCP24"	5.86979568304929e-43	1.00998490126392	0.945	0.71	2.29773152012965e-38	"16"	"UCP2"
"C12orf57"	6.22196038651981e-43	1.02701807138008	0.869	0.407	2.43558639330318e-38	"16"	"C12orf57"
"ZDHHC14"	6.79632222940813e-43	1.1910849509068	0.234	0.031	2.66042033670181e-38	"16"	"ZDHHC14"
"ZCCHC112"	6.91011070179938e-43	1.32004060054876	0.483	0.12	2.70496283421937e-38	"16"	"ZCCHC11"
"HMGN14"	6.38179740099339e-42	0.945462247378099	0.91	0.555	2.49815459261886e-37	"16"	"HMGN1"
"ACAP14"	7.16279084614864e-42	1.13028653662233	0.545	0.151	2.80387447672489e-37	"16"	"ACAP1"
"RPS28"	7.5065495390216e-42	0.475689774819872	1	0.975	2.93843881705001e-37	"16"	"RPS28"
"HERPUD15"	2.3686930000749e-41	1.04510127825105	0.979	0.675	9.2722487487932e-37	"16"	"HERPUD1"
"ATG101"	2.66905012927221e-41	1.24337379715507	0.614	0.201	1.04479967310361e-36	"16"	"ATG101"
"HHAT"	2.68751773156458e-41	1.02634826839123	0.117	0.008	1.05202881602096e-36	"16"	"HHAT"
"MAN2B12"	5.14284240292166e-41	1.07764312906115	0.876	0.508	2.01316565862368e-36	"16"	"MAN2B1"
"MYO9A1"	8.07765025582652e-41	1.21806126527224	0.386	0.081	3.16199619264329e-36	"16"	"MYO9A"
"DAAM12"	1.21327607310667e-40	1.22679965583135	0.366	0.073	4.74936918817605e-36	"16"	"DAAM1"
"C1orf2284"	2.05808372193173e-40	1.13250182736218	0.462	0.109	8.05636872950174e-36	"16"	"C1orf228"
"PPIB3"	2.47872192207441e-40	0.930542792623486	0.979	0.803	9.70295696396029e-36	"16"	"PPIB"
"ARL4C5"	2.88503109272156e-40	1.16068389033052	0.731	0.283	1.12934542124585e-35	"16"	"ARL4C"
"TRIT12"	3.3630370379106e-40	1.25285114829321	0.331	0.063	1.3164608484901e-35	"16"	"TRIT1"
"PCED1B3"	3.87627709550074e-40	1.16117975425139	0.29	0.049	1.51736866903376e-35	"16"	"PCED1B"
"FAM60A4"	6.58203111409384e-40	1.25920054812212	0.545	0.162	2.57653607961203e-35	"16"	"FAM60A"
"FAM81A"	7.85794412202855e-40	0.808937862876216	0.103	0.006	3.07599222656807e-35	"16"	"FAM81A"
"SULF23"	8.55640171398811e-40	1.06125683299001	0.724	0.258	3.34940345094064e-35	"16"	"SULF2"
"CNP"	1.33361253428429e-39	1.24594845088755	0.421	0.1	5.22042626545585e-35	"16"	"CNP"
"HYOU12"	1.33925249129898e-39	1.29604918413938	0.476	0.125	5.24250387718984e-35	"16"	"HYOU1"
"PEBP12"	2.23278197098731e-39	0.553020115891528	0.924	0.46	8.74022502542983e-35	"16"	"PEBP1"
"RPL191"	2.33347994669477e-39	0.423199315340864	1	0.974	9.13440725133667e-35	"16"	"RPL19"
"XBP12"	4.1265245298222e-39	1.03027743467433	0.876	0.442	1.6153280271989e-34	"16"	"XBP1"
"RPL53"	5.23285006565045e-39	0.550861210344226	1	0.942	2.04839915819887e-34	"16"	"RPL5"
"FAAH"	9.88247603469895e-39	1.13706864920634	0.234	0.033	3.8684952437829e-34	"16"	"FAAH"
"SPINT24"	1.04801905730833e-38	1.13750198266884	0.828	0.408	4.10247059983346e-34	"16"	"SPINT2"
"TSPYL25"	1.40227098044867e-38	1.42107984222019	0.552	0.168	5.48918975296633e-34	"16"	"TSPYL2"
"AD000671.63"	3.56402132509891e-38	1.26401880883765	0.572	0.185	1.39513614770997e-33	"16"	"AD000671.6"
"SEC61G2"	4.02999429821023e-38	0.931070575112062	0.931	0.697	1.57754126803439e-33	"16"	"SEC61G"
"RPS63"	4.25726782875209e-38	0.509227176242178	1	0.969	1.666507491565e-33	"16"	"RPS6"
"HIP13"	6.26134548464617e-38	1.19799107064651	0.448	0.112	2.45100368996474e-33	"16"	"HIP1"
"CSF2RB2"	7.52763673585946e-38	1.14255736792553	0.538	0.154	2.94669340025218e-33	"16"	"CSF2RB"
