""	"Var.Imp"
"rpl18a"	127.975972731183
"hla_drb1"	223.392980983341
"dusp1"	551.973329626436
"ppia"	42.7205825501378
"fth1"	62.2234970381101
"rpl41"	98.2282893115887
"nkg7"	236.807406688647
"rps4x"	104.644937219034
"rpl37"	657.884932836625
"igha1"	2.35509287385691
"igll5"	0.241031471857018
"hla_c"	96.7218448996088
"ch17_262h11_1"	0
"tubb"	19.5902296348418
"ccl4l2"	179.524127776204
"hspa1b"	92.8090595925425
"ighg2"	0.313294795729514
"ccl5"	76.0636016626167
"rpl12"	87.935665902521
"rps13"	108.7838264503
"ighv3_33"	0
"rps15"	93.7985582492442
"ighv3_30"	1.72578276792954
"mt_nd3"	110.653543059299
"rpl26"	189.614941495044
"hmgb1"	36.7622868361828
"rpl3"	9745.98378840359
"cfl1"	44.9384034418441
"rpl7a"	66.2233858800114
"iglc2"	4.99921782060526
"cxcl13"	1.16253417863597
"ighv4_4"	0.00246068365838775
"rps10"	124.048269132489
"rps24"	54.6157136995103
"zfp36"	344.727923362573
"rplp2"	74.5639328990287
"hmgn2"	25.4409017394481
"rpsa"	55.6043481443121
"hspa6"	8.86526028321395
"rps7"	91.0867251501519
"mt_nd1"	112.742411394304
"rps21"	153.470585309543
"mt_nd2"	56.3066184654369
"rpl15"	55.0626668367008
"rpl18"	57.3396061564146
"h3f3b"	82.626044524737
"rpl23a"	74.1988002477886
"crip1"	53.4837174834001
"rpl13a"	49.6779103552959
"rps29"	86.7222856029015
"rpl8"	69.286038130406
"rpl29"	63.7078201577674
"gzmk"	15922.4517273667
"rpl35a"	67.1522449630397
"s100a4"	115.985442142342
"rps25"	89.2369795087087
"il32"	62.5237604998647
"rpl14"	107.168791192874
"rpl36"	82.2293573399486
"rpl21"	135.192555137758
"rpl6"	83.1619900885302
"rps16"	105.393366103292
"gpx3"	16.1044852505088
"rpl37a"	74.0621454191826
"stmn1"	7.14111943451647
"ier2"	184.712211521623
"rps5"	113.966587916738
"mt_nd5"	55.5714972613235
"rgs1"	351.325003733589
"rpl17"	89.3609935140389
"rps9"	50.1853905724412
"cd69"	335.394529828412
"fau"	54.8874987200623
"hla_dra"	143.628510764789
"lgals1"	40.876924340582
"rpl35"	84.3129719787414
"rpl5"	77.2869166336977
"hmgb2"	18.3769810709179
"hspa8"	181.024544943339
"rpl10a"	60.9380456012413
"eif1"	103.217512415163
"gnb2l1"	38.4980824485837
"coro1a"	84.0625612669225
"sub1"	31.8363087996242
"sh3bgrl3"	54.925721292978
"ubc"	90.3504192755689
"btg1"	112.757944451197
"ccl3"	84.2617388583549
"igkc"	3.26206387294451
"myl6"	42.1865834592224
"npm1"	42.8826877232138
"srgn"	91.9308562582651
"cst7"	119.159293271802
"arhgdib"	45.182005242891
"hla_drb5"	59.0983360799811
"rpl9"	138.730805510905
"h3f3a"	40.9756122341797
"cd52"	109.201765077637
"klf6"	118.870142330244
"h2afz"	25.843469988211
"cxcr4"	105.312754904916
"tsc22d3"	483.074863667511
"dusp2"	143.698356885902
"mt1g"	9.63187756417631
"rpl24"	47.2475645171687
"rpl27a"	61.422271383081
"gzma"	185.578191166837
"naca"	147.565549326069
"hsp90ab1"	109.422411516928
"rpl7"	55.236670868606
"ppib"	26.6897456691856
"s100a6"	62.7648964911015
"rpl22"	73.8168735545191
"atp5e"	31.2457619679525
"hsp90b1"	26.3293599565754
"hnrnpa1"	33.7987290138174
"rpl4"	111.241357054969
"mt2a"	27.5732329744206
"hnrnpa2b1"	36.112501009262
"cotl1"	115.564255325661
"hbb"	11.4929758047106
"uba52"	48.0423843042322
"eef1b2"	76.8674604733361
"rpl27"	46.766107884943
"serf2"	37.4094442833334
"hla_dpa1"	121.924376398864
"hspe1"	40.7521407394381
"trbv20_1"	9.25347711188771
"calm1"	46.9670371667887
"rpl31"	52.8591786676639
"zfp36l2"	75.2390915135047
"rps17"	35.626794342148
"igha2"	5.10757496558638
"ubb"	58.7718827128116
"hla_dqa1"	56.1261229111535
"mif"	25.8221979061968
"txnip"	133.912827114382
"iglc3"	1.76982284273261
"nfkbia"	113.193543831084
"ybx1"	37.2003903913945
"rps20"	49.9468459211473
"anxa1"	591.924772146098
"pkm"	41.5505482084394
"atp5l"	25.6659465300318
"chchd2"	32.2882350131863
"fxyd2"	49.4319787577031
"egr1"	259.178701064625
"myl12a"	38.9295993954689
"eef2"	56.1758608634115
"arpc2"	38.702369535278
"btf3"	41.36927691326
"ighv4_34"	0.397927584910376
"ighv3_15"	0.505377390386612
"ighv3_11"	0.113671712408763
"hla_e"	49.2879063075083
"rpl38"	67.7540035074344
"clic1"	38.7417820127139
"oaz1"	57.4892500387702
"arl6ip1"	16.3351161487852
"trdv1"	43.42514014654
"pabpc1"	52.9799139727867
"slc25a5"	31.2911548092685
"gzmb"	77.353591269662
"ifitm1"	82.1006272600358
"eef1g"	38.7841768750416
"rac2"	60.2809676333607
"tpi1"	29.4590106200567
