""	"Var.Imp"
"apoe"	10.0558893065466
"tagln2"	39.7088085238524
"pmaip1"	20.2768022128092
"park7"	26.7473704830267
"fosb"	714.651512728697
"trbv4_1"	4.01106772439928
"gstp1"	19.8423999382461
"srp14"	34.0138870530934
"ube2c"	0
"dnaja1"	78.7626566507911
"dusp4"	2137.29290246865
