""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"SNUPN"	0.00192806979262129	0.411804084544863	0.058	0.129	1	"13"	"SNUPN"
"LYRM7"	0.00193400765860395	0.46105885737157	0.051	0.119	1	"13"	"LYRM7"
"LPGAT1"	0.00193538887487282	0.376367930853896	0.135	0.247	1	"13"	"LPGAT1"
"PLXNC1"	0.00194559750147409	0.281194157602025	0.215	0.383	1	"13"	"PLXNC1"
"ZNF655"	0.00194868801833061	0.428215985418918	0.178	0.318	1	"13"	"ZNF655"
"DCTN5"	0.0019839353200167	0.303384324708038	0.069	0.146	1	"13"	"DCTN5"
"WHSC1L1"	0.00199424464421989	0.498309401565231	0.2	0.36	1	"13"	"WHSC1L1"
"CUL4A"	0.00200853351349723	0.360889499320461	0.105	0.201	1	"13"	"CUL4A"
"RASA4"	0.00206148798587108	0.528890191712968	0.135	0.248	1	"13"	"RASA4"
"GZF11"	0.0020690154088125	0.250523794297294	0.131	0.238	1	"13"	"GZF1"
"IFITM11"	0.00207297520380384	0.555418773447611	0.087	0.172	1	"13"	"IFITM1"
"ATP8B4"	0.00207575041783232	0.278115280414534	0.124	0.229	1	"13"	"ATP8B4"
"PCNA"	0.00213150865814189	0.299335752756333	0.08	0.161	1	"13"	"PCNA"
"MLLT10"	0.00213827932668584	0.316741973900518	0.109	0.208	1	"13"	"MLLT10"
"C31"	0.00216871740765374	0.580350118864073	0.556	0.561	1	"13"	"C3"
"SCAF11"	0.0021731212445939	0.315921659304074	0.371	0.652	1	"13"	"SCAF11"
"CYB5D11"	0.00218817079427643	1.04522762059583	0.127	0.082	1	"13"	"CYB5D1"
"NISCH"	0.00220241856019615	0.468543002235637	0.087	0.173	1	"13"	"NISCH"
"SH2B1"	0.00221109333789465	0.317154560752182	0.051	0.117	1	"13"	"SH2B1"
"RAB291"	0.00222985948363596	0.344480371408086	0.116	0.218	1	"13"	"RAB29"
"KDM6B1"	0.00223915802765387	0.903719361854642	0.44	0.508	1	"13"	"KDM6B"
"MECP2"	0.00227617669444482	0.519745544637773	0.135	0.247	1	"13"	"MECP2"
"SECISBP2L"	0.00229061256289649	0.583335068919047	0.131	0.243	1	"13"	"SECISBP2L"
"RSRC1"	0.00232800134422117	0.417093169642483	0.16	0.285	1	"13"	"RSRC1"
"STXBP3"	0.00235497804339845	0.376246728121016	0.113	0.21	1	"13"	"STXBP3"
"PLAGL1"	0.00238069395577045	0.312907068656882	0.145	0.262	1	"13"	"PLAGL1"
"ATF31"	0.00242786573683464	0.390123179255135	0.698	0.782	1	"13"	"ATF3"
