""	"Var.Imp"
"PABPC1"	53.1987139457182
"MT2A"	35.0374937265483
"IL7R"	205.822792419332
"CFL1"	49.4462813368328
"HLA.DRB1"	57.1385589322199
"S100A6"	97.5372441838811
"SARAF"	78.6780062984986
"DUSP2"	1777.88183840453
"PPIA"	36.2433868990956
"RGS1"	23.0955570708709
"TNFAIP3"	338.158990598095
"LGALS1"	31.1179767259904
"HSP90AB1"	119.364148159416
"ARHGDIB"	40.3174316852661
"GZMK"	126.543425323157
"ANXA1"	65.8412390302068
"HSPE1"	334.167937591325
"UBB"	119.560081271351
"ATP5E"	52.1173752310315
"RPL36A"	66.7427909033454
"NKG7"	2119.06965357987
"HLA.E"	50.1866308534386
"FOSB"	254.317892995925
"NPM1"	51.0416646498821
"TRBV7.2"	7.79370585696704
"EEF1D"	38.0015866566268
"MYL6"	38.0882176571163
"BTF3"	44.7558609143826
"RPS11"	64.5557134403742
"HNRNPA1"	45.2666752716255
"SAT1"	32.9794669287641
"SERF2"	48.6056428524622
"DDX5"	53.3475192828824
"KLRB1"	206.337833702459
"RPS4Y1"	18.8001022508447
"GADD45B"	64.7639555183487
"TOMM7"	43.0309600939127
"LDHB"	144.30018238047
"CORO1A"	59.3099299951375
"COX7C"	50.8432333460981
"FXYD5"	84.8579702410403
"PFDN5"	28.5514087374203
"MYL12A"	50.9231477860108
"CALM1"	52.9587546680952
"TRBV20.1"	6.24543685670546
"APOE"	34.047538262747
"SRSF7"	99.1252622052737
"HLA.DRA"	49.0634021515233
"CCL4L2"	0.634328845002265
"XCL1"	1.68264347675053
"PPP1R15A"	136.478364255948
"HINT1"	44.8807952630357
"ALDOB"	9.79449078188435
"BTG2"	182.301683572591
"COX4I1"	46.0936015672821
"CD3E"	68.9325978943823
"S100A10"	122.27930045514
"RPL36AL"	32.5545782724946
"TRBV5.1"	4.01725747126073
"PTPRCAP"	31.0349040697413
"H3F3A"	50.4879495079454
"SLC2A3"	93.4342866854575
"HBA1"	16.1461690130732
"DNAJA1"	210.267691908853
"CST7"	2187.85094805498
