"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
0.00031938183615162	0.573762860432441	0.011	0.001	1	"13"	"LINC00924"
0.00031938183615162	0.410897194716875	0.011	0.001	1	"13"	"UBASH3A"
0.00031938183615162	0.362984003864306	0.011	0.001	1	"13"	"RORC"
0.00031938183615162	0.278677183243629	0.011	0.001	1	"13"	"PGM5P2"
0.00031938183615162	0.269372584217821	0.011	0.001	1	"13"	"XCR1"
0.00031938183615162	0.1911981229261	0.011	0.001	1	"13"	"RP11-156K13.1"
0.000319426953700305	0.0533506398465573	0.062	0.15	1	"13"	"AAAS"
0.000319866403572183	0.0545683870290095	0.062	0.149	1	"13"	"POGK"
0.000326020240301392	0.373965642316396	0.258	0.446	1	"13"	"CITED2"
0.000328995980606717	1.36097188713586	0.04	0.013	1	"13"	"SPOCK2"
0.000329516001849652	0.312585984471223	0.189	0.356	1	"13"	"LUC7L2"
0.000330424002015043	1.09301590932905	0.378	0.375	1	"13"	"ABCA1"
0.000333842688763546	0.396743772000543	0.062	0.15	1	"13"	"PEX11B"
0.000334173453679536	0.274148407887193	0.138	0.272	1	"13"	"UFL1"
0.000334246528702791	0.681526280055425	0.113	0.229	1	"13"	"MARK3"
0.000338986711418996	0.388106155412636	0.145	0.284	1	"13"	"MTF2"
0.000339699125129704	0.39367511144243	0.065	0.155	1	"13"	"HIP1"
0.000339902099846679	0.0423270247315441	0.022	0.084	1	"13"	"MOB2"
0.000342729146520598	0.0614184196208041	0.029	0.097	1	"13"	"PRIMPOL"
0.000344039310591836	0.051226181396826	0.044	0.12	1	"13"	"TRIP6"
0.000344894663981924	0.208093759052503	0.025	0.091	1	"13"	"FBXO8"
0.000347207844240132	0.20874161107969	0.051	0.132	1	"13"	"UBE4B"
0.000352562971318033	0.347967271655137	0.164	0.313	1	"13"	"TCERG1"
0.000354361865872057	0.256634469956381	0.102	0.212	1	"13"	"GTPBP4"
0.000355567005720098	0.23880279908213	0.087	0.188	1	"13"	"ESCO1"
0.000356211774808799	0.11345686959427	0.076	0.171	1	"13"	"B3GNT2"
0.000359491386953377	0.069507793307253	0.036	0.108	1	"13"	"KIF20B"
0.000361154287163237	0.675135231839323	0.007	0	1	"13"	"ART4"
0.000361154287163237	0.566086471075423	0.007	0	1	"13"	"FMO2"
0.000361154287163237	0.555370529639689	0.007	0	1	"13"	"ENSG00000130201"
0.000361154287163237	0.531759028917474	0.007	0	1	"13"	"EDIL3"
0.000361154287163237	0.522205931605217	0.007	0	1	"13"	"AC009948.4"
0.000361154287163237	0.51603290442985	0.007	0	1	"13"	"SV2A"
0.000361154287163237	0.49745803266643	0.007	0	1	"13"	"ENSG00000272058"
0.000361154287163237	0.496324064543805	0.007	0	1	"13"	"SGCE"
0.000361154287163237	0.470890680539549	0.007	0	1	"13"	"AC055811.3"
0.000361154287163237	0.464917913889182	0.007	0	1	"13"	"PVRL3"
0.000361154287163237	0.462161567570792	0.007	0	1	"13"	"PCDH17"
0.000361154287163237	0.44606772788482	0.007	0	1	"13"	"FSIP2"
0.000361154287163237	0.409586035207659	0.007	0	1	"13"	"ADAM32"
0.000361154287163237	0.409447136519435	0.007	0	1	"13"	"ZNF625-ZNF20"
0.000361154287163237	0.391146425369268	0.007	0	1	"13"	"LINC01030"
0.000361154287163237	0.349112788734302	0.007	0	1	"13"	"MYH10"
